_id,totalCases,newCases,activeCases,totalDeaths,newDeaths,totalRecovered,date,__v
ObjectId("5e9d1bee6237ec130a9e6b75"),2,1,2,0,0,0,""2020-02-29T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b74"),1,1,1,0,0,0,""2020-02-28T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b76"),2,0,2,0,0,0,""2020-03-01T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b78"),2,0,2,0,0,0,""2020-03-03T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b7a"),4,0,4,0,0,0,""2020-03-05T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b77"),2,0,2,0,0,0,""2020-03-02T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b79"),4,2,4,0,0,0,""2020-03-04T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b7b"),13,9,13,0,0,0,""2020-03-06T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b7c"),13,0,13,0,0,0,""2020-03-07T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b7d"),20,7,20,0,0,0,""2020-03-08T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b7e"),25,5,25,0,0,0,""2020-03-09T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b7f"),31,6,31,0,0,0,""2020-03-10T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b80"),38,7,38,0,0,0,""2020-03-11T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b81"),52,14,52,0,0,0,""2020-03-12T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b82"),151,99,151,0,0,0,""2020-03-13T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b83"),151,0,151,0,0,0,""2020-03-14T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b84"),162,11,162,0,0,0,""2020-03-15T00:00:00.000Z"",0
ObjectId("5e9d1bee6237ec130a9e6b85"),200,38,199,0,0,1,""2020-03-16T00:00:00.000Z"",0
